Temps,ModeleDeMouvementX2,Temps,MouvementY2,Temps,MouvementX2
4.8666618,-0.0210135579181024,4.8666618,-0.0657329968523163,4.8666618,-0.0210743107497847
4.9333284,-0.0200986612049704,4.9333284,-0.0662647096681085,4.9333284,-0.0194773939986762
4.999995,-0.015480441896644,4.999995,-0.0657329968523163,4.999995,-0.0146866437453508
5.0666616,-0.00808450832383046,5.0666616,-0.0689232737470698,5.0666616,-0.00616975440610554
5.1333282,0.000675546375701594,5.1333282,-0.067328135299693,5.1333282,0.00500866285165383
5.1999948,0.00916739014673872,5.1999948,-0.0678598481154853,5.1999948,0.0124609410234934
5.2666614,0.0158433448682131,5.2666614,-0.067328135299693,5.2666614,0.0183163024442245
5.333328,0.0195216780561705,5.333328,-0.067328135299693,5.333328,0.0215101359464415
5.3999946,0.0195948148312729,5.3999946,-0.0678598481154853,5.3999946,0.0209778303627386
5.4666612,0.0161279723943902,5.4666612,-0.067328135299693,5.4666612,0.0156547745257104
5.5333278,0.00983256140461381,5.5333278,-0.0678598481154853,5.5333278,0.0103317186886821
5.5999944,0.00192195051118701,5.5999944,-0.0683915609312775,5.5999944,0.000750218182031215
5.666661,-0.00612145444982736,5.666661,-0.067328135299693,5.666661,-0.00776667115721404
5.7333276,-0.0128232718742998,5.7333276,-0.0678598481154853,5.7333276,-0.0157512549127564
5.7999942,-0.016986697599033,5.7999942,-0.067328135299693,5.7999942,-0.0194773939986762
5.8666608,-0.0179054006508416,5.8666608,-0.0667964224839008,5.8666608,-0.0200096995823791
5.9333274,-0.0154820488901772,5.9333274,-0.0678598481154853,5.9333274,-0.0146866437453508
5.999994,-0.0102328384518971,5.999994,-0.0683915609312775,5.999994,-0.010960504659431
6.0666606,-0.00317968358991035,6.0666606,-0.0678598481154853,6.0666606,-0.00137900415278009
6.1333272,0.00434776081378362,6.1333272,-0.0678598481154853,6.1333272,0.0066055796027623
6.1999938,0.010962059689388,6.1999938,-0.0667964224839008,6.1999938,0.0135255521908991
6.2666604,0.0154730793133921,6.2666604,-0.067328135299693,6.2666604,0.0172516912768188
6.333327,0.0171014128492323,6.333327,-0.0678598481154853,6.333327,0.0193809136116301
6.3999936,0.0156120132794434,6.3999936,-0.0678598481154853,6.3999936,0.016719385693116
6.4666602,0.0113453260508112,6.4666602,-0.067328135299693,6.4666602,0.0113963298560877
6.5333268,0.00514246053982246,6.5333268,-0.0683915609312775,6.5333268,0.00394405168424816
6.5999934,-0.0018196002218012,6.5999934,-0.0683915609312775,6.5999934,-0.00457283765499707
