Temps,EA04_D,Temps,EA15_D,Temps,EA26_D
4.2E-5,4.65839915536344,4.2E-5,0.50355027616024,4.2E-5,5.16489594010636
4.3E-5,4.59368534665555,4.3E-5,0.528478531166911,4.3E-5,5.12513538403437
4.4E-5,4.50408161152154,4.4E-5,0.643148504197597,4.4E-5,5.14501566207036
4.5E-5,4.44932377338409,4.5E-5,0.702976316213608,4.5E-5,5.14501566207036
4.6E-5,4.34976406767964,4.6E-5,0.807674987241626,4.6E-5,5.15495580108836
4.7E-5,4.30994018539786,4.7E-5,0.832603242248297,4.7E-5,5.14004559256136
4.8E-5,4.23527040611953,4.8E-5,0.887445403262973,4.8E-5,5.12513538403437
4.9E-5,4.17553458269686,4.9E-5,0.952258866280317,4.9E-5,5.12513538403437
5E-5,4.11579875927418,5E-5,1.01208667829633,5E-5,5.12513538403437
5.1E-5,4.04610696528107,5.1E-5,1.07690014131367,5.1E-5,5.12016531452537
5.2E-5,3.9863711418584,5.2E-5,1.12675665132701,5.2E-5,5.11022517550737
5.3E-5,3.93161330372095,5.3E-5,1.17661316134036,5.3E-5,5.11022517550737
5.4E-5,3.87187748029828,5.4E-5,1.23145532235503,5.4E-5,5.10525510599837
5.5E-5,3.80716367159039,5.5E-5,1.28629748336971,5.5E-5,5.10028503648937
5.6E-5,3.75240583345294,5.6E-5,1.35111094638705,5.6E-5,5.10028503648937
5.7E-5,3.68769202474505,5.7E-5,1.40096745640039,5.7E-5,5.09034489747137
5.8E-5,3.6329341866076,5.8E-5,1.45580961741507,5.8E-5,5.09034489747137
5.9E-5,3.57817634847015,5.9E-5,1.50566612742841,5.9E-5,5.08040475845337
6E-5,3.5234185103327,6E-5,1.55552263744175,6E-5,5.07543468894437
6.1E-5,3.46368268691003,6.1E-5,1.61036479845643,6.1E-5,5.07046461943537
6.2E-5,3.40394686348736,6.2E-5,1.66520695947111,6.2E-5,5.07046461943537
6.3E-5,3.35914499592036,6.3E-5,1.70509216748178,6.3E-5,5.06549454992637
6.4E-5,3.30936514306814,6.4E-5,1.74996302649379,6.4E-5,5.05555441090837
6.5E-5,3.22473939321935,6.5E-5,1.82973344251513,6.5E-5,5.06052448041737
6.6E-5,3.20980543736368,6.6E-5,1.85466169752181,6.6E-5,5.06549454992637
6.7E-5,3.14509162865579,6.7E-5,1.90950385853648,6.7E-5,5.06052448041737
6.8E-5,3.10526774637401,6.8E-5,1.93941776454449,6.8E-5,5.04064420238137
6.9E-5,3.07042184937745,6.9E-5,1.97431732155383,6.9E-5,5.04064420238137
7E-5,3.01566401124001,7E-5,2.02417383156717,7E-5,5.03567413287237
7.1E-5,2.970862143673,7.1E-5,2.06405903957784,7.1E-5,5.03070406336337
7.2E-5,2.93103826139122,7.2E-5,2.11391554959118,7.2E-5,5.04064420238137
