Temps,EA04_D,Temps,EA15_D,Temps,EA26_D
5.6E-5,-6.7063412507996,5.6E-5,1.35111094638705,5.6E-5,-5.35674121044576
5.7E-5,-6.60180355980992,5.7E-5,1.2563835773617,5.7E-5,-5.35177114093676
5.8E-5,-6.51219982467592,5.8E-5,1.18159881234169,5.8E-5,-5.33189086290076
5.9E-5,-6.39272817783058,5.9E-5,1.07191449031234,5.9E-5,-5.32692079339176
6E-5,-6.28321250155568,6E-5,0.987158423289657,6E-5,-5.29710037633777
6.1E-5,-6.18863078113645,6.1E-5,0.887445403262973,6.1E-5,-5.30207044584677
6.2E-5,-6.09902704600245,6.2E-5,0.802689336240292,6.2E-5,-5.30207044584677
6.3E-5,-6.00942331086844,6.3E-5,0.71793326921761,6.3E-5,-5.29710037633777
6.4E-5,-5.91484159044921,6.4E-5,0.638162853196263,6.4E-5,-5.28716023731977
6.5E-5,-5.83021584060043,6.5E-5,0.558392437174916,6.5E-5,-5.28219016781077
6.6E-5,-5.74061210546643,6.6E-5,0.478622021153569,6.6E-5,-5.26727995928377
6.7E-5,-5.64105239976198,6.7E-5,0.378909001126885,6.7E-5,-5.26230988977477
6.8E-5,-5.55642664991319,6.8E-5,0.299138585105538,6.8E-5,-5.25733982026577
6.9E-5,-5.46682291477919,6.9E-5,0.219368169084191,6.9E-5,-5.25236975075677
7E-5,-5.39215313550085,7E-5,0.159540357068181,7E-5,-5.23745954222977
7.1E-5,-5.2925934297964,7.1E-5,0.0598273370414972,7.1E-5,-5.23248947272077
7.2E-5,-5.20796767994761,7.2E-5,-0.0149574279785156,7.2E-5,-5.22254933370277
7.3E-5,-5.12831991538405,7.3E-5,-0.0847565419971943,7.3E-5,-5.21260919468477
7.4E-5,-5.04867215082049,7.4E-5,-0.154555656015873,7.4E-5,-5.21260919468477
7.5E-5,-4.97898035682738,7.5E-5,-0.224354770034552,7.5E-5,-5.20266905566677
7.6E-5,-4.89933259226382,7.6E-5,-0.299139535054564,7.6E-5,-5.19769898615777
7.7E-5,-4.82466281298548,7.7E-5,-0.373924300074577,7.7E-5,-5.19769898615777
7.8E-5,-4.74501504842192,7.8E-5,-0.443723414093256,7.8E-5,-5.18775884713978
7.9E-5,-4.72510310728103,7.9E-5,-0.44870906509459,7.9E-5,-5.16787856910378
8E-5,-4.60563146043569,8E-5,-0.578335991129279,8E-5,-5.18278877763078
